timestamp,MagX,MagY,MagZ
1665821253.990563,-165.652176,69.565216,35.652172
1665821253.991452,-165.652176,69.565216,35.652172
1665821253.992906,-165.652176,69.565216,35.652172
1665821253.994276,-165.652176,69.565216,35.652172
1665821253.995456,-165.652176,69.565216,35.652172
1665821253.99686,-166.086960,70.000000,36.086956
1665821253.998242,-166.086960,70.000000,36.086956
1665821253.999742,-166.086960,70.000000,36.086956
1665821254.092938,-166.086960,70.000000,36.086956
1665821254.093752,-166.086960,70.000000,36.086956
1665821254.095168,-165.217392,69.565216,35.652172
1665821254.096375,-165.217392,69.565216,35.652172
1665821254.097857,-165.217392,69.565216,35.652172
1665821254.099119,-165.217392,69.565216,35.652172
1665821254.10234,-165.217392,69.565216,35.652172
1665821254.195348,-165.652176,70.000000,35.652172
1665821254.196109,-165.652176,70.000000,35.652172
1665821254.197624,-165.652176,70.000000,35.652172
1665821254.19875,-165.652176,70.000000,35.652172
1665821254.200188,-165.652176,70.000000,36.521740
1665821254.201412,-165.652176,70.000000,36.521740
1665821254.202744,-165.652176,70.000000,36.521740
1665821254.204168,-165.652176,70.000000,36.521740
1665821254.297818,-165.652176,70.000000,36.521740
1665821254.298679,-165.652176,70.000000,36.521740
1665821254.300106,-165.652176,70.000000,36.521740
1665821254.301344,-165.652176,70.000000,36.521740
1665821254.302867,-165.652176,70.000000,36.521740
1665821254.304171,-165.652176,70.000000,36.521740
1665821254.3059,-165.652176,70.000000,35.652172
1665821254.40019,-165.652176,70.000000,35.652172
1665821254.401302,-165.652176,70.000000,35.652172
1665821254.402793,-165.652176,70.000000,35.652172
1665821254.403924,-165.652176,70.000000,35.652172
1665821254.405156,-165.652176,70.000000,35.652172
1665821254.406611,-165.652176,70.000000,35.652172
1665821254.408051,-165.652176,70.000000,35.652172
1665821254.409308,-165.652176,70.000000,35.652172
1665821254.502219,-165.652176,70.000000,35.652172
1665821254.503268,-165.652176,70.434784,35.652172
1665821254.504741,-165.652176,70.434784,35.652172
1665821254.506021,-165.652176,70.434784,35.652172
1665821254.507357,-165.652176,70.434784,35.652172
1665821254.508648,-165.652176,70.434784,35.652172
1665821254.510294,-166.086960,70.434784,35.652172
1665821254.712515,-166.086960,70.434784,35.652172
1665821254.713845,-166.086960,70.434784,35.652172
1665821254.715054,-166.086960,70.434784,35.652172
1665821254.716377,-166.086960,70.434784,35.652172
1665821254.717793,-165.652176,70.000000,36.086956
1665821254.719091,-165.652176,70.000000,36.086956
1665821254.720318,-165.652176,70.000000,36.086956
1665821254.721752,-165.652176,70.000000,36.086956
1665821254.723059,-165.652176,70.000000,36.086956
1665821254.724337,-166.086960,70.000000,36.086956
1665821254.725532,-166.086960,70.000000,36.086956
1665821254.726973,-166.086960,70.000000,36.086956
1665821254.728318,-166.086960,70.000000,36.086956
1665821254.729757,-166.086960,70.000000,36.086956
1665821254.731228,-165.652176,70.000000,35.652172
1665821254.809681,-165.652176,70.000000,35.652172
1665821254.81063,-165.652176,70.000000,35.652172
1665821254.811874,-165.652176,70.000000,35.652172
1665821254.813249,-165.652176,70.000000,35.652172
1665821254.814526,-165.652176,70.000000,36.086956
1665821254.815908,-165.652176,70.000000,36.086956
1665821254.817153,-165.652176,70.000000,36.086956
1665821254.818572,-165.652176,70.000000,36.086956
1665821254.911859,-165.652176,70.000000,36.086956
1665821254.912713,-165.652176,69.565216,36.086956
1665821254.914013,-165.652176,69.565216,36.086956
1665821254.915214,-165.652176,69.565216,36.086956
1665821254.916623,-165.652176,69.565216,36.086956
1665821254.918142,-165.652176,69.565216,36.086956
1665821254.919355,-165.652176,70.000000,36.086956
1665821254.920551,-165.652176,70.000000,36.086956
1665821255.014351,-165.652176,70.000000,36.086956
1665821255.015273,-165.652176,70.000000,36.086956
1665821255.01672,-165.652176,70.000000,36.086956
1665821255.017913,-165.652176,70.000000,35.652172
1665821255.019303,-165.652176,70.000000,35.652172
1665821255.020573,-165.652176,70.000000,35.652172
1665821255.022013,-165.652176,70.000000,35.652172
1665821255.116918,-165.652176,70.000000,35.652172
1665821255.117958,-166.086960,70.000000,36.086956
1665821255.11922,-166.086960,70.000000,36.086956
1665821255.12044,-166.086960,70.000000,36.086956
1665821255.12184,-166.086960,70.000000,36.086956
1665821255.123269,-166.086960,70.000000,36.086956
1665821255.124458,-166.521744,69.565216,35.652172
1665821255.12821,-166.521744,69.565216,35.652172
1665821255.220213,-166.521744,69.565216,35.652172
1665821255.220942,-166.521744,69.565216,35.652172
1665821255.222179,-166.521744,69.565216,35.652172
1665821255.223624,-165.652176,70.000000,36.086956
1665821255.224887,-165.652176,70.000000,36.086956
1665821255.226213,-165.652176,70.000000,36.086956
1665821255.227465,-165.652176,70.000000,36.086956
1665821255.321725,-165.652176,70.000000,36.086956
1665821255.322386,-165.652176,70.000000,36.521740
1665821255.323603,-165.652176,70.000000,36.521740
1665821255.324841,-165.652176,70.000000,36.521740
1665821255.326367,-165.652176,70.000000,36.521740
1665821255.327945,-165.652176,70.000000,36.521740
1665821255.329153,-165.652176,70.000000,36.086956
1665821255.33064,-165.652176,70.000000,36.086956
1665821255.424029,-165.652176,70.000000,36.086956
1665821255.424997,-165.652176,70.000000,36.086956
1665821255.4265,-165.652176,69.565216,36.086956
1665821255.42767,-165.652176,69.565216,36.086956
1665821255.429181,-165.652176,69.565216,36.086956
1665821255.430386,-165.652176,69.565216,36.086956
1665821255.431664,-165.652176,69.565216,36.086956
1665821255.526627,-165.652176,69.565216,36.086956
1665821255.527523,-165.652176,69.565216,36.086956
1665821255.529033,-165.652176,69.565216,36.086956
1665821255.530509,-165.652176,69.565216,36.086956
1665821255.531971,-165.652176,69.565216,36.086956
1665821255.533404,-166.086960,70.000000,35.652172
1665821255.534845,-166.086960,70.000000,35.652172
1665821255.536171,-166.086960,70.000000,35.652172
1665821255.628621,-166.086960,70.000000,35.652172
1665821255.629682,-166.086960,70.000000,35.652172
1665821255.630904,-165.652176,69.565216,35.652172
1665821255.632092,-165.652176,69.565216,35.652172
1665821255.633632,-165.652176,69.565216,35.652172
1665821255.634815,-165.652176,69.565216,35.652172
1665821255.636109,-165.652176,69.565216,35.652172
1665821255.730918,-165.652176,70.434784,36.086956
1665821255.732007,-165.652176,70.434784,36.086956
1665821255.733469,-165.652176,70.434784,36.086956
1665821255.734703,-165.652176,70.434784,36.086956
1665821255.736182,-165.652176,70.434784,36.086956
1665821255.737372,-166.086960,69.565216,35.652172
1665821255.73861,-166.086960,69.565216,35.652172
1665821255.740045,-166.086960,69.565216,35.652172
1665821255.83368,-166.086960,69.565216,35.652172
1665821255.834701,-166.086960,69.565216,35.652172
1665821255.836214,-166.086960,70.000000,35.652172
1665821255.837478,-166.086960,70.000000,35.652172
1665821255.838922,-166.086960,70.000000,35.652172
1665821255.84018,-166.086960,70.000000,35.652172
1665821255.841606,-166.086960,70.000000,35.652172
1665821255.935847,-166.086960,69.565216,36.086956
1665821255.937053,-166.086960,69.565216,36.086956
1665821255.938252,-166.086960,69.565216,36.086956
1665821255.939654,-166.086960,69.565216,36.086956
1665821255.940911,-166.086960,69.565216,36.086956
1665821255.942179,-165.652176,69.565216,35.652172
1665821255.943456,-165.652176,69.565216,35.652172
1665821255.944821,-165.652176,69.565216,35.652172
1665821256.038436,-165.652176,69.565216,35.652172
1665821256.039313,-165.652176,69.565216,35.652172
1665821256.040542,-165.652176,70.000000,36.086956
1665821256.042074,-165.652176,70.000000,36.086956
1665821256.043298,-165.652176,70.000000,36.086956
1665821256.045165,-165.652176,70.000000,36.086956
1665821256.046463,-165.652176,70.000000,36.086956
1665821256.141111,-165.652176,70.000000,36.086956
1665821256.141825,-165.652176,70.000000,36.086956
1665821256.143401,-165.652176,70.000000,36.086956
