"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.392098060E-1,-1.940625000E1,3.750000000E-1,-4.974375153E1,5.339647910E1
6.492098060E-1,-1.948125076E1,4.500000179E-1,-4.976250076E1,5.344181989E1
6.592098060E-1,-1.908750153E1,3.562500179E-1,-4.980000305E1,5.333385353E1
6.692098060E-1,-1.897500038E1,4.125000238E-1,-4.993125153E1,5.341676399E1
6.792098060E-1,-1.884375000E1,2.625000179E-1,-4.996875381E1,5.340442096E1
6.892098060E-1,-1.903125000E1,2.062500119E-1,-5.011875153E1,5.361082232E1
6.992098060E-1,-1.888125038E1,2.812500000E-1,-5.041875076E1,5.383893708E1
7.092098060E-1,-1.882500076E1,4.875000119E-1,-5.055000305E1,5.394368470E1
7.192098060E-1,-1.858125114E1,5.062500238E-1,-5.055000305E1,5.385927953E1
7.292098060E-1,-1.837500000E1,4.687500298E-1,-5.038125229E1,5.362957145E1
7.392098060E-1,-1.878750038E1,3.000000119E-1,-5.021250153E1,5.361301596E1
7.492098060E-1,-1.869375038E1,3.562500179E-1,-5.008125305E1,5.345760119E1
7.592098060E-1,-1.880625153E1,5.250000358E-1,-5.011875153E1,5.353354066E1
7.692098060E-1,-1.884375000E1,5.250000358E-1,-4.983750153E1,5.328357249E1
7.792098060E-1,-1.893750000E1,4.125000238E-1,-4.957500076E1,5.307051689E1
7.892098060E-1,-1.903125000E1,2.812500000E-1,-4.944375229E1,5.298067778E1
7.992098060E-1,-1.933125114E1,2.437500060E-1,-4.938750076E1,5.303660921E1
8.092098060E-1,-1.957500076E1,2.062500119E-1,-4.942500305E1,5.316064447E1
8.192098060E-1,-1.897500038E1,3.937500119E-1,-4.961250305E1,5.311879270E1
8.292098060E-1,-1.903125000E1,3.187500238E-1,-4.981875229E1,5.333102435E1
8.392098060E-1,-1.895625114E1,1.500000060E-1,-4.974375153E1,5.323347418E1
8.492098060E-1,-1.878750038E1,1.500000060E-1,-4.985625076E1,5.327887396E1
8.592098060E-1,-1.901250076E1,1.500000060E-1,-4.987500381E1,5.337615283E1
8.692098060E-1,-1.895625114E1,1.687500030E-1,-4.976250076E1,5.325105085E1
8.792098060E-1,-1.895625114E1,4.125000238E-1,-4.972500229E1,5.321734178E1
8.892098060E-1,-1.884375000E1,4.312500060E-1,-5.000625229E1,5.344060403E1
8.992098060E-1,-1.920000076E1,5.250000358E-1,-5.008125305E1,5.363811669E1
9.092098060E-1,-1.935000038E1,5.812500119E-1,-4.993125153E1,5.355268663E1
9.192098060E-1,-1.940625000E1,7.312500477E-1,-4.983750153E1,5.348751092E1
9.292098060E-1,-1.944375038E1,6.375000477E-1,-4.983750153E1,5.349992891E1
9.392098060E-1,-1.929375076E1,7.312500477E-1,-4.981875229E1,5.342931428E1
9.492098060E-1,-1.914375114E1,7.125000358E-1,-5.017500305E1,5.370774428E1
9.592098060E-1,-1.905000114E1,4.500000179E-1,-5.011875153E1,5.361897330E1
9.692098060E-1,-1.908750153E1,3.000000119E-1,-4.991250229E1,5.343856846E1
9.792098060E-1,-1.880625153E1,2.062500119E-1,-5.017500305E1,5.358403276E1
9.892098060E-1,-1.873125076E1,1.875000075E-2,-5.025000381E1,5.362763271E1
9.992098060E-1,-1.869375038E1,-1.687500030E-1,-5.025000381E1,5.361480825E1
1.009209806E0,-1.876875114E1,-9.375000000E-2,-4.998750305E1,5.339499293E1
1.019209806E0,-1.880625153E1,-2.812500000E-1,-5.004375076E1,5.346149258E1
1.029209806E0,-1.876875114E1,-3.375000060E-1,-4.980000305E1,5.322048694E1
1.039209806E0,-1.867500114E1,-3.750000149E-2,-5.010000229E1,5.346744153E1
1.049209806E0,-1.852500153E1,1.125000045E-1,-5.011875153E1,5.343292611E1
1.059209806E0,-1.882500076E1,3.750000000E-1,-4.968750381E1,5.313538665E1
1.069209806E0,-1.886250114E1,3.937500119E-1,-4.957500076E1,5.304365833E1
1.079209806E0,-1.878750038E1,4.312500060E-1,-4.993125153E1,5.335059537E1
1.089209806E0,-1.863750076E1,2.812500000E-1,-4.995000076E1,5.331452065E1
1.099209806E0,-1.854375076E1,3.937500119E-1,-4.991250229E1,5.324738131E1
1.109209806E0,-1.871250153E1,3.000000119E-1,-5.000625229E1,5.339356685E1
1.119209806E0,-1.888125038E1,1.875000000E-1,-5.000625229E1,5.345242782E1
1.129209806E0,-1.901250076E1,3.750000149E-2,-5.011875153E1,5.360378574E1
1.139209806E0,-1.914375114E1,-2.250000089E-1,-5.025000381E1,5.377356894E1
1.149209806E0,-1.895625114E1,-1.312500089E-1,-5.026875305E1,5.372433543E1
1.159209806E0,-1.905000114E1,-2.437500060E-1,-5.000625229E1,5.351249598E1
1.169209806E0,-1.901250076E1,1.875000075E-2,-4.995000076E1,5.344602991E1
1.179209806E0,-1.893750000E1,2.625000179E-1,-5.021250153E1,5.366556738E1
1.189209806E0,-1.890000153E1,4.312500060E-1,-5.002500153E1,5.347800307E1
