timestamp,Abs,MagX,MagY,MagZ
1672328316.75305,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.766091,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.766176,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.76621,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.76623,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.766251,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.766277,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.766299,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.766353,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.770159,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.775845,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.775871,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789503,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789562,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789576,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789589,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789645,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789663,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789676,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.78969,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789702,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789791,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789827,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789841,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789853,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789866,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789877,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789889,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789899,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.78991,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789921,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789931,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789943,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789954,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789965,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789975,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789986,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.789996,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.790007,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.94174,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.943054,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.946227,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.946843,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.946874,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.948122,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.949273,110.4775657079921,64.782608,-61.739128,64.782608
1672328316.950429,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.951906,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.955,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.955033,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.955738,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.95691,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.958079,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.959271,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.963546,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.964119,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.964226,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.964741,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.965975,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.967154,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.968357,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.96991,110.72112910072036,64.782608,-62.173916,64.782608
1672328316.972393,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.972711,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.973631,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.974712,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.97625,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.977475,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.978647,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.979835,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.981302,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.982792,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.983941,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.985378,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.987067,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.988232,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.989418,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.990947,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.992106,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.993306,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.994734,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.995936,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.997646,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.999815,109.71435212303338,64.347824,-61.739128,63.913040
1672328316.999885,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.001013,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.002481,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.003673,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.005133,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.006203,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.00935,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.009598,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.010158,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.012183,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.012669,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.014008,109.71435212303338,64.347824,-61.739128,63.913040
1672328317.015212,109.95960606673539,64.347824,-62.173916,63.913040
1672328317.016393,109.95960606673539,64.347824,-62.173916,63.913040
1672328317.01792,109.95960606673539,64.347824,-62.173916,63.913040
1672328317.147,109.95960606673539,64.347824,-62.173916,63.913040
1672328317.149695,109.95960606673539,64.347824,-62.173916,63.913040
1672328317.149748,109.95960606673539,64.347824,-62.173916,63.913040
