"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.371564750E-1,-7.668750286E0,-2.818125153E1,-4.145625305E1,5.071107952E1
6.471564750E-1,-7.743750095E0,-2.827500153E1,-4.126875305E1,5.062164908E1
6.571564750E-1,-7.800000191E0,-2.853750038E1,-4.128750229E1,5.079258584E1
6.671564750E-1,-7.368750095E0,-2.851875114E1,-4.108125305E1,5.054984666E1
6.771564750E-1,-7.012500286E0,-2.853750038E1,-4.117500305E1,5.058601550E1
6.871564750E-1,-6.581250191E0,-2.857500076E1,-4.121250153E1,5.057977664E1
6.971564750E-1,-6.487500191E0,-2.846250153E1,-4.145625305E1,5.070327967E1
7.071564750E-1,-6.168750286E0,-2.829375076E1,-4.134375000E1,5.047668250E1
7.171564750E-1,-6.093750477E0,-2.810625076E1,-4.123125076E1,5.027038061E1
7.271564750E-1,-5.850000381E0,-2.782500076E1,-4.110000229E1,4.997662814E1
7.371564750E-1,-5.737500191E0,-2.763750076E1,-4.117500305E1,4.992125032E1
7.471564750E-1,-5.737500191E0,-2.748750114E1,-4.136250305E1,4.999338243E1
7.571564750E-1,-5.925000191E0,-2.730000114E1,-4.134375000E1,4.989690726E1
7.671564750E-1,-6.150000095E0,-2.700000191E1,-4.134375000E1,4.976071009E1
7.771564750E-1,-6.018750191E0,-2.675625038E1,-4.143750000E1,4.969093171E1
7.871564750E-1,-6.018750191E0,-2.651250076E1,-4.164375305E1,4.973268763E1
7.971564750E-1,-5.756250381E0,-2.623125076E1,-4.177500153E1,4.966249780E1
8.071564750E-1,-5.775000095E0,-2.602500153E1,-4.192500305E1,4.968256446E1
8.171564750E-1,-5.737500191E0,-2.555625153E1,-4.196250153E1,4.946607357E1
8.271564750E-1,-5.812500000E0,-2.536875153E1,-4.203750229E1,4.944198933E1
8.371564750E-1,-5.700000286E0,-2.488125038E1,-4.203750229E1,4.918046586E1
8.471564750E-1,-5.568750381E0,-2.433750153E1,-4.200000000E1,4.886025953E1
8.571564750E-1,-5.587500095E0,-2.415000153E1,-4.190625000E1,4.868856663E1
8.671564750E-1,-5.418750286E0,-2.388750076E1,-4.209375000E1,4.870173854E1
8.771564750E-1,-5.475000381E0,-2.358750153E1,-4.222500229E1,4.867542168E1
8.871564750E-1,-5.381250381E0,-2.340000153E1,-4.198125076E1,4.836262341E1
8.971564750E-1,-5.268750191E0,-2.336250114E1,-4.181250000E1,4.818559271E1
9.071564750E-1,-5.137500286E0,-2.330625153E1,-4.153125000E1,4.790010434E1
9.171564750E-1,-4.950000286E0,-2.349375153E1,-4.136250305E1,4.782588757E1
9.271564750E-1,-4.612500191E0,-2.398125076E1,-4.113750076E1,4.784004092E1
9.371564750E-1,-4.575000286E0,-2.454375076E1,-4.089375305E1,4.791268483E1
9.471564750E-1,-4.631250381E0,-2.514375114E1,-4.042500305E1,4.783134509E1
9.571564750E-1,-4.218750000E0,-2.606250191E1,-3.976875305E1,4.773474182E1
9.671564750E-1,-3.993750095E0,-2.679375076E1,-3.960000229E1,4.797932160E1
9.771564750E-1,-3.637500048E0,-2.761875153E1,-3.922500229E1,4.811057729E1
9.871564750E-1,-3.543750048E0,-2.851875114E1,-3.886875153E1,4.833898195E1
9.971564750E-1,-3.412500143E0,-2.932500076E1,-3.815625000E1,4.824417313E1
1.007156475E0,-3.468750238E0,-3.013125038E1,-3.763125229E1,4.833255245E1
1.017156475E0,-3.262500048E0,-3.056250191E1,-3.706875229E1,4.815394922E1
1.027156475E0,-3.093750238E0,-3.121875191E1,-3.680625153E1,4.836198830E1
1.037156475E0,-3.112500191E0,-3.153750038E1,-3.669375229E1,4.848435876E1
1.047156475E0,-3.168750048E0,-3.172500038E1,-3.646875000E1,4.844054451E1
1.057156475E0,-3.243750095E0,-3.180000114E1,-3.639375305E1,4.843828288E1
1.067156475E0,-3.150000095E0,-3.185625076E1,-3.624375153E1,4.835651702E1
1.077156475E0,-3.187500238E0,-3.170625114E1,-3.650625229E1,4.845774423E1
1.087156475E0,-3.300000191E0,-3.146250153E1,-3.673125076E1,4.847642506E1
1.097156475E0,-3.131250143E0,-3.123750114E1,-3.701250076E1,4.853361122E1
1.107156475E0,-2.962500095E0,-3.073125076E1,-3.738750076E1,4.848722918E1
1.117156475E0,-3.093750238E0,-3.058125114E1,-3.774375153E1,4.867622614E1
1.127156475E0,-3.093750238E0,-3.069375038E1,-3.778125000E1,4.877602336E1
1.137156475E0,-3.131250143E0,-3.035625076E1,-3.804375076E1,4.877123804E1
1.147156475E0,-2.868750095E0,-3.003750038E1,-3.836250305E1,4.880740514E1
1.157156475E0,-2.981250048E0,-2.998125076E1,-3.838125229E1,4.879430066E1
1.167156475E0,-2.906250000E0,-2.975625038E1,-3.855000305E1,4.878507416E1
1.177156475E0,-2.962500095E0,-2.973750114E1,-3.855000305E1,4.877702447E1
1.187156475E0,-3.037500143E0,-2.956875038E1,-3.843750000E1,4.858990443E1
1.197156475E0,-2.868750095E0,-2.913750076E1,-3.823125076E1,4.815446202E1
1.207156475E0,-2.831250191E0,-2.876250076E1,-3.849375153E1,4.813591522E1
1.217156475E0,-2.700000048E0,-2.863125038E1,-3.836250305E1,4.794496990E1
1.227156475E0,-2.831250191E0,-2.850000191E1,-3.828750229E1,4.781421251E1
1.237156475E0,-2.456250191E0,-2.820000076E1,-3.847500229E1,4.776608639E1
1.247156475E0,-2.325000048E0,-2.814375114E1,-3.845625305E1,4.771121202E1
1.257156475E0,-2.100000143E0,-2.790000153E1,-3.843750000E1,4.754220748E1
1.267156475E0,-1.912500024E0,-2.788125038E1,-3.845625305E1,4.753845999E1
1.277156475E0,-1.856250048E0,-2.793750191E1,-3.853125000E1,4.762989506E1
1.287156475E0,-1.837500095E0,-2.797500038E1,-3.840000153E1,4.754510669E1
1.297156475E0,-1.687500119E0,-2.814375114E1,-3.847500229E1,4.769951977E1
1.307156475E0,-1.462500095E0,-2.825625038E1,-3.813750076E1,4.748708831E1
1.317156475E0,-1.462500095E0,-2.838750076E1,-3.770625305E1,4.722023534E1
1.327156475E0,-1.350000024E0,-2.857500076E1,-3.748125076E1,4.715079350E1
1.337156475E0,-1.275000095E0,-2.891250038E1,-3.735000229E1,4.725019550E1
1.347156475E0,-1.631250024E0,-2.941875076E1,-3.703125000E1,4.732269381E1
1.357156475E0,-1.631250024E0,-2.971875191E1,-3.656250000E1,4.714532424E1
1.367156475E0,-1.837500095E0,-3.009375191E1,-3.626250076E1,4.715908472E1
1.377156475E0,-1.950000048E0,-3.043125153E1,-3.575625229E1,4.699333088E1
1.387156475E0,-2.043750048E0,-3.084375191E1,-3.558750153E1,4.713792752E1
1.397156475E0,-1.912500024E0,-3.140625191E1,-3.536250305E1,4.733409910E1
1.407156475E0,-2.062500000E0,-3.187500191E1,-3.506250000E1,4.743046025E1
1.417156475E0,-2.231250048E0,-3.240000153E1,-3.453750229E1,4.740862411E1
1.427156475E0,-1.687500119E0,-3.288750076E1,-3.410625076E1,4.740961616E1
1.437156475E0,-1.443750024E0,-3.346875000E1,-3.397500229E1,4.771312630E1
1.447156475E0,-1.162500024E0,-3.414375305E1,-3.358125305E1,4.790457009E1
1.457156475E0,-1.012500048E0,-3.461250305E1,-3.307500076E1,4.788534431E1
1.467156475E0,-1.200000048E0,-3.530625153E1,-3.253125000E1,4.802346951E1
1.477156475E0,-1.537500024E0,-3.590625000E1,-3.193125153E1,4.807522771E1
1.487156475E0,-1.687500119E0,-3.630000305E1,-3.146250153E1,4.806690005E1
1.497156475E0,-1.987500072E0,-3.680625153E1,-3.101250076E1,4.817079521E1
1.507156475E0,-2.643750191E0,-3.708750153E1,-3.041250038E1,4.803532413E1
1.517156475E0,-3.450000048E0,-3.748125076E1,-2.964375114E1,4.791136234E1
1.527156475E0,-4.031250000E0,-3.765000153E1,-2.928750038E1,4.786994120E1
